Title,URL,Date,Primary image,Primary image caption,Primary image rights information,Subjects,Station,State,Place,Keywords,Latitude,Longitude,MediaRSS URL,Words,Billboards
Alice Springs photographer helping refugees after rare desert event,http://www.abc.net.au/local/photos/2014/12/10/4146313.htm,10/12/2014,http://www.abc.net.au/reslib/201412/r1367245_19259943.jpg,Looking east over Alice Springs from the top of Anzac Hill,Copyright: Unspecified | Source: with permission | Byline: Peter Carroll,"Weather, Weather:Phenomena, Weather:Storm,",ABC Alice Springs,NT,Alice Springs,"storm, cloud, alice springs, photography, sky, landscapes, desert, news, storm,",-23.6989,133.8829,http://www.abc.net.au/local/photos/2014/12/10/4146313-mediarss.xml, Cloud magic A recent light show in the desert town is helping support refugees in Uganda The stunning cloud formations were photographed within a 20 kilometre radius of Alice Springs over about three days Mr Carroll is now selling prints of the images via his Facebook page to help raise funds for projects in Uganda including bedding for orphans at the Rwamwanja Refugee Camp in Western Uganda There are  thousands of  people in this refugee camp and there about four groups of orphans and unaccompanied minors that live in pretty atrocious conditions he says They've got a large white UNHCR tent and they've built beds out of sticks and they just sleep on sticks and cardboard when they can find it Mr Carroll and his family spent four weeks volunteering in Uganda last year and visited the camp during that time With the help of non-profit organisation Street Swags money raised from the sale of the images will be used to deliver durable bedding for the children Peter son Xaver has also raised money for the Kamwenge Youth Soccer Team in the same district Xaver and schoolmates Coco Cavalier Toby Roberts and Samual De Graaff busked in Todd Mall raising $700 dollars for boots shinpads gloves and balls Cloud magic in the desert</strong> Mr Carroll says he hasn't seen weather conditions like this in the region for about eight years We often get big dumps of rain but we don't get amazing cloud formations every afternoon he says The rain sort of spreads across the sky and filters the light so beautifully It changes so rapidlyyou get these beautiful dark parts then you've got blue sky behind that and orange colours coming through all at the same time around one storm Funds raised from the sale of the images will also be directed towards other projects in Uganda including infrastructure for a local school,0091.png
Students sign up for their futures,http://www.abc.net.au/local/photos/2011/08/04/3285415.htm,4/08/2011,http://www.abc.net.au/reslib/201108/r809022_7204044.JPG,Palmerston Senior College Year 10 student Nichala Phillips with the recognition of her pledge to complete Year 12 and achieve her personal best,Copyright: ABC | Source: ABC | Byline: Clare Rawlinson,"Education, Education:Secondary, Education:University and Further Education,",ABC Darwin,NT,Palmerston,"palmerston senior college, chief minister, paul henderson, charter signing, ceremony, banner, students, news",-12.3828,131.4839,http://www.abc.net.au/local/photos/2011/08/04/3285415-mediarss.xml, I'm really proud to be here today to see you sign your pledge to do the best you possibly can Mr Henderson said offering some wise words of advice As you go into Year 12 the stress levels will riseand I know it really easy for old people like me to speak to young people like you and say you need to work really hard but first and foremost have fun It important that you enjoy what you're doing in life he said Principal Jenny Nash said the students who signed the charter to complete Year 12 will be supported by industry and business advice through the Beacon Foundation It means we're going to go on to the future and not just drop out - I'm really motivated now one student Andrew Gerritsen said Listen to the audio above to hear more of what students Andrew Gerritsen Diego Smith Rhiannon Weeding and Jamiee-Lee Berger thought Follow @1057darwin     Palmerston student ambassadors,4932.png
Festival-goers linger longer,http://www.abc.net.au/local/photos/2011/07/30/3281727.htm,30/07/2011,http://www.abc.net.au/reslib/201107/r807047_7170047.jpg,Lingalonga Festival director Marilyn Morris is rapt with this year's festival,Copyright: ABC | Source: ABC | Byline: Clare Rawlinson,"Arts and Entertainment, Arts and Entertainment:Events, Arts and Entertainment:Events:Carnivals and Festivals, Community and Society",ABC Darwin,NT,Batchelor,"lingalonga arts batchelor festIVAL, news, aboriginal, cultural",-13.0519,131.0259,http://www.abc.net.au/local/photos/2011/07/30/3281727-mediarss.xml, Lingalonga - that exactly what people did this year at the annual Batchelor arts festival despite the first-time exclusion of alcohol The festival which after beginning six years ago inspired a monthly arts market draws hundreds of people from Darwin and tourists on their way up through the Territory with a program full of arts and sports Many who came from out of town for the festival will stay on in the Litchfield National Park for the long weekend providing a much appreciated economic stimulus for the small community Run entirely by volunteers Ms Morris said the Lingalonga festival was put together by people whose passion was to create something worthwhile for the kids in the Batchelor community while celebrating the dozens of talented artists locally Ms Morris said the exclusion of alcohol had brought the focus back to the children and families who are central to the event many of them coming from remote communities that are plagued by alcohol abuse We really wanted to (exclude alcohol) but there the old die-hards who said oh no - but the reason is we have is that Kormilda College and some of the other Christian colleges are here with kids who can almost be a bit of a product form alcohol issues in remote communities Ms Morris said It best for them they don't want to see all of that - it been really well received With Kormilda College and St Johns College among other teams that are playing footy games during the festival the Batchelor oval is lined with picnicking families and supporters The festivities will continue with belly dancing sky-diving capoeira dancing and a grand parade followed by more musicians including Darwin based funk-soul duo Sietta Follow @1057darwin,4940.png
Bananas in Pyjamas visit RDH,http://www.abc.net.au/local/photos/2011/07/20/3273838.htm,20/07/2011,http://www.abc.net.au/reslib/201107/r802481_7079273.JPG,Children at the Royal Darwin Hospital received showbags early,Copyright: ABC | Source: ABC | Byline: Clare Rawlinson,"Arts and Entertainment, Arts and Entertainment:Events, Arts and Entertainment:Events:Carnivals and Festivals, Arts and Entertainment:Television",ABC Darwin,NT,Darwin,"bananas in pyjamas, darwin show, royal darwin hospital, news, children, sick, celebrations, nt",-12.8668,130.9433,http://www.abc.net.au/local/photos/2011/07/20/3273838-mediarss.xml, Children at the Royal Darwin hospital were treated to a special visit ahead of the Darwin Show today Along with their famously blue and white striped PJs B1 and B2 also brought the children an array of showbags to choose from to brighten their day Darwin Show CEO Cherry Court said that visiting the children each year was a really important part of the community spirit of the Royal Darwin Show These kids in hospital aren't able to attend so we bring the show to them The happiness they get from it makes it such a rewarding experience she said,4973.png
Katherine Show: magic moments,http://www.abc.net.au/local/photos/2011/07/16/3270981.htm,16/07/2011,http://www.abc.net.au/reslib/201107/r800954_7050065.jpg,"Ros and Jess Beckhouse with Nick Pasquale and his winning dog, ""Monster"", who took out the title in the small dogs competition.",Copyright: ABC | Source: ABC | Byline: Clare Rawlinson,"Arts and Entertainment, Arts and Entertainment:Events, Arts and Entertainment:Events:Carnivals and Festivals, Community and Society",ABC Darwin,NT,Katherine,"katherine show, agriculture, rodeo, polocross, event, events, news, photos, photography, gallery, pictures, food, children, family",-14.2666,132.3623,http://www.abc.net.au/local/photos/2011/07/16/3270981-mediarss.xml, With polocross costumed dogs an iron chef cook-off rodeo and everything in between the 2011 Katherine Show has created a feast for the senses Follow @1057darwin,4982.png
105.7 Darwin broadcasts from Katherine Show,http://www.abc.net.au/local/photos/2011/07/15/3270248.htm,15/07/2011,http://www.abc.net.au/reslib/201107/r800504_7041963.JPG,Mornings presenter Kate O'Toole speaks with Katherine show committee member Sue Sinclair,Copyright: ABC | Source: ABC | Byline: Clare Rawlinson,"Arts and Entertainment, Community and Society, Event, Lifestyle and Leisure",ABC Darwin,NT,Katherine,"katherine show, broadcast, outside, live, air, panel, news,",-14.6666,132.5623,http://www.abc.net.au/local/photos/2011/07/15/3270248-mediarss.xml, From 11am in replace of the Guestroom Kate and Country Hour presenter Stacey Milner will lead a live exports forum with industry members to discuss the effects of the recently-lifted suspension of the trade A full photogallery of the Katherine Show will be available online later today,4987.png
Ball gowns go cross-country to Tennant Creek,http://www.abc.net.au/local/photos/2011/07/14/3269357.htm,14/07/2011,http://www.abc.net.au/reslib/201107/r799966_7031298.JPG,Women dance at the NAIDOC ball in Tennant Creek,Copyright: Unspecified | Source: | Byline:,"Community and Society, Community and Society:Indigenous (Aboriginal and Torres Strait Islander), Community and Society:Regional, Event",ABC Darwin,NT,Tennant Creek,"NAIDOC week, tennant creek, aboriginal, indigenous, party, ball, celebration, committee, news, dresses, jewellery",-19.8523,133.9882,http://www.abc.net.au/local/photos/2011/07/14/3269357-mediarss.xml, Finding that perfect ball dress is a challenge many women agonise over But when the town you live in has limited evening wear available for sale the task becomes all the more difficult A call to alms was sent out via email through the public service network asking for donations of dresses jewellery and all ball-associated accessories The email went viral and the story was broadcast on ABC local radio in Canberra leading to a total of around 20 bags of donations ready for transport to Tennant Creek All of a sudden dresses started rocking up with jewellery suits and beautiful fur coats and just wonderful things Tennant Creek NAIDOC committee Sarah Watkins said But stuck 3000 kilometres south of their celebration destination the next challenge was in transporting them to Tennant Creek We had to try to work out how to get that all back up to Tennant Creek Sarah said As soon as someone down in Canberra rang (Australia Post) they said yep not a problem and so they shipped up 15-20 bags The clothes were taken to the Tennant Creek Council of Elders and Respected Persons building where ball-goers could go and select their perfect outfit Around 300 people attended the ball and the dresses were donated to op shops after the event It just been fantastic - we haven't had a NAIDOC week celebration in a few years and the community has got right behind it Sarah said,4995.png
Glenti festival sees culture shared with thousands,http://www.abc.net.au/local/photos/2011/06/12/3241954.htm,12/06/2011,http://www.abc.net.au/reslib/201106/r782486_6745043.jpg,Alex and Matt from the Helenic Atheltic Club cook meat on the spit at the Glenti Greek festival,Copyright: ABC | Source: ABC | Byline: Clare Rawlinson,"Community and Society, Community and Society:Community and Multicultural Festivals, Community and Society:Community Organisations, Lifestyle and Leisure",ABC Darwin,NT,Darwin,"greek, glenti, traditional, food, crowd, festival, stage, news, culture, ouzo, drink, eat, fun, family, party, sun, weekend",-12.6668,130.5433,http://www.abc.net.au/local/photos/2011/06/12/3241954-mediarss.xml, More than 10000 people have spent the weekend in the sun at the Greek Glenti festival where food drinks and cultural performances filled Bicentennial Park in Darwin The festival MC Evan Papandonakis said the event aimed to share what the Greek culture and lifestyle is all about with the wider population while creating a family friendly weekend for all     Glenti brings the Greek to Darwin,5039.png
A cracker of a show,http://www.abc.net.au/local/photos/2011/07/01/3259026.htm,1/07/2011,http://www.abc.net.au/reslib/201107/r793305_6921888.jpg,Shin Sugawara and 'Slim Brown' know how to spruik in sideshow alley,Copyright: ABC | Source: ABC Local | Byline: Emma Sleath,"Arts and Entertainment:Events:Carnivals and Festivals, Rural:Agricultural Shows, Rural,",ABC Alice Springs,NT,Alice Springs,"alice springs show,",-23.7989,134.0829,http://www.abc.net.au/local/photos/2011/07/01/3259026-mediarss.xml, It showtime in Alice Springs and plenty to see and do over two big days of fun down at Blatherskite Park Gates opened this morning at 9am to a heady mix of all the old favourites and a whole lot more Blatherskite Park was ablaze with all the colour of the sideshows the rides the pavillions and everything in between 783 Alice Springs broadcast live with Tatjana Clancy from 830am to 11am with Karl Curtain and Caddie Brain taking the reins for the Country Hour from 12 There was a live sand sculpture display show jumping stilt walkers a very loud chicken shed and plenty of politicians and that was just in the first half hour! Show president Brad Bellette personal highlights include the Amazing Drumming Monkeys and the hundreds of of photos on display for the photo competition For those keen to head down on Saturday don't forget the free bus service which leaves the Harley St bus stop from 930am with the final bus returning to town just after the fireworks at 730pm,5041.png
PM faces Palmerston,http://www.abc.net.au/local/photos/2011/06/30/3257272.htm,30/06/2011,http://www.abc.net.au/reslib/201106/r792306_6903773.jpg,Minister for Immigration Chris Bowen and Prime Minister Julia Gillard,Copyright: ABC | Source: ABC | Byline: Clare Rawlinson,"Community and Society, Community and Society:Indigenous (Aboriginal and Torres Strait Islander), Government and Politics, Government and Politics:Federal Government",ABC Darwin,NT,Darwin,"PM, prime minister, julia gillard, community cabinet, questions, news, palmerston, darwin, NT, northern territory, darwin",-12.2668,131.2433,http://www.abc.net.au/local/photos/2011/06/30/3257272-mediarss.xml, One woman however who has 130 years of family history in the cattle industry met one-on-one with the Prime Minister to express her opinion about the suspension of live exports saying she wants a complete phase-out of the trade and a transition to chilled meat exports The Prime Minster also announced a settlement with the Larrakeyah Development Corporation to transfer back the Kenbi Cox Peninsula land after a 30-year battle for the rights There were some cheers last night when the announcement was made at the community cabinet meeting but for other traditional owners it marked the start of a new battle to protect sacred sites Traditional owner Raylene Singh says she the Larrakeyah Development Corporation does not have the rights to build houses on the land - a plan that has the Government support with the aim of establishing a new suburb - and she wants to protect the area She said she would consider legal action to prevent the land from being developed Follow @1057darwin     Kenbi Land dispute,5043.png
Fringe dwellers find festival home,http://www.abc.net.au/local/photos/2011/06/25/3253527.htm,25/06/2011,http://www.abc.net.au/reslib/201106/r789932_6867296.jpg,Jo Nicol from Katherine Regional Arts sports some stylish sunglasses,Copyright: ABC | Source: ABC | Byline: Clare Rawlinson,"Arts and Entertainment, Arts and Entertainment:Events, Arts and Entertainment:Events:Carnivals and Festivals, Arts and Entertainment:Music",ABC Darwin,NT,Katherine,"katherine fringe festival, aboriginal, indigenous, performance, arts, culture, cultural, news",-14.8666,132.6623,http://www.abc.net.au/local/photos/2011/06/25/3253527-mediarss.xml, We have a lot of people living in the long grass here - so the concept is about living on the fringes - in a way we are all fringe dwellers because we're only here for a short time she said The festival has seen contributors travel from interstate and across the Territory to celebrate two days of performance visual and written arts Launched with a risque fire show last night the festival will come to a peak tonight as the highly-anticipated Gorrdondolmi play takes to the stage Gorrdondolmi is the story of the Katherine region and centres on a rainbow snake whose life explains the cause of flooding in Katherine Ms Tapp Coutts said the Gorrdondolmi story was used as the theme for this year festival in a bid to promote understanding of the region Local artist Kerryn Taylor added to the theme by inspiring a larger-than-life snake spulpture representing the rainbow snake in the Gorrdondolmi story With help from knitters across Australia and in Katherine before and throughout the festival she pieced together the three metre snake skin with knitted patches of colour which will be on display throughout the rest of the festival The sculpture will also travel to Darwin for display during the Darwin Festival Do you have photos of the festival?</strong> Contribute online here     Gorrdondolmi Knitted Snake,5053.png
Beanie madness in Alice,http://www.abc.net.au/local/photos/2011/06/24/3253081.htm,24/06/2011,http://www.abc.net.au/reslib/201106/r788958_6851568.jpg,"Lizzie Lizard, by Shirley Jones and Caroline Alexander.",Copyright: ABC | Source: ABC Local | Byline: Emma Sleath,"Arts and Entertainment, Arts and Entertainment:Design, Arts and Entertainment:Design:Craft,",ABC Alice Springs,NT,Alice Springs,"beanie festival, abc, alice springs, news, jo nixon,",-23.5989,133.4829,http://www.abc.net.au/local/photos/2011/06/24/3253081-mediarss.xml, This weekend Beanie Festival in Alice Springs will be the biggest ever says chief beaniologist Jo Nixon With over 6500 beanies on offer there sure to be something for everyone About 100 more beanie makers have entered this year and the quality of the beanies is fantastic she says It the fifteenth year for the iconic event where weird and wacky beanies sit alongside more distinguished works of art The beanies have arrived from all over Australia and overseas including the UK Greece and Japan Some will compete for prizes which centre around this year theme of the elements - and there everything from volcano to electric fans on display It very exciting to see the way peopleexpress themselves in their beanies it great says Jo Also on the program is an event called The Fastest Beanie in the World where participants compete to be the fastest beanie maker The current record is 10 and a half minutes says Jo And it my record! Over 10000 people are expected to attend the three day festival at the Araluen Arts Centre in Alice Springs,5054.png
Cattlemen rally Government with heartfelt messages,http://www.abc.net.au/local/photos/2011/06/21/3249325.htm,21/06/2011,http://www.abc.net.au/reslib/201106/r787264_6822120.jpg,"Clancy Bradshaw, from a family that says their contract mustering business is at threat because of the live exports suspension, was with many other children of families in the industry at this morning's rally.",Copyright: ABC | Source: ABC | Byline: Clare Rawlinson,"Business, Economics and Finance, Government and Politics, Government and Politics:Federal Government, Rural:Agribusiness",ABC Darwin,NT,Darwin,"live exports, ban, suspension, rally, protest, cattle, animals, trade, industry, government, politics, diplomatic, news, cattlemen, northern territory, NT, darwin, katherine, top end",-12.0668,130.8433,http://www.abc.net.au/local/photos/2011/06/21/3249325-mediarss.xml, He said he expects his own business to suffer a loss of up to 70pc if the suspension continues and that every business in Katherine would also feel the flow on effects One cattleman from Kalala Tossa Murphy said he has 4000 head of cattle at his property that are gaining weight and losing value He said if the suspension continues to the point that the animals would need to be sold in Australia the influx into the Queensland market would decimate their value With cattle sold at around $600 a head when exported to Indonesia the loss could be more than 50 per cent as Mr Murphy estimated the animals would only sell for around $250 into the Queensland market with a $100 freight charge per head Cattleman Phil Howie of Douglas Daly said the suspension was a rushed political reaction that was bound to create diplomatic tensions with Indonesia The solution is simple - set up a system to track the cattlethere are plenty of plants there that are as good as we have in Australia he said Vets in the Katherine region are also reported to have had vaccine orders of $1000 cancelled since the suspension of live exports People will cut costs wherever they can just to survive Mr Howie said,5072.png
2011 Finke Prologue results,http://www.abc.net.au/local/photos/2011/06/11/3241674.htm,11/06/2011,http://www.abc.net.au/reslib/201106/r782241_6741488.jpg,Chole Beer speeds around the prologue track,Copyright: ABC | Source: abc | Byline: Emma Haskin,"Sport, Sport:Motor Sports,",ABC Alice Springs,NT,Alice Springs,"finke, motorsport, bikes, prologue",-23.3989,133.5829,http://www.abc.net.au/local/photos/2011/06/11/3241674-mediarss.xml, The competition is heating up in this year Finke Desert Race The bikes the buggies and the cars are posting similar times in the eight kilometre prologue The prologue will determine the start times for the competitors for the race tomorrow Last year champs in the buggies and cars section of the Finke Desert Race South Australia Dave Fellows and Navigator Mark Bergamin have finished on top of the prologue with a provisional time of 441 Second off the pace is last year third placers the Territory own Dan Auricht and Grant Connelly only two seconds behind In third is another from the Peter Kittle camp father and son duo also 2005 and 2006 winners Shannon and Ian Rentsch with a provisional time of 447 2010 podium finishers Bradley Gallard and Scott Modistach did not finish the eight kilometre prologue It remains to be seen whether the Renmark team will be re-seeded Provisional top ten cars and buggies</strong> 1 Dave Fellows/Mark Bergamin SA 441 2 Dan Auricht/Grant Connelly NT 443 3 Shannon Rentsch/Ian Rentsch VIC 447 4 Travis Robinson/Paul Currie WA 449 5 Beau Robinson/Adam Trewhella WA 450 6 Glen Owen/Deon Beattie VIC 451 7 Chris Coulthard/Robert Hawker NT/WA 451 8 Shawn Teagle VIC 454 9 Hayden Bentley SA 454 10 Greg Garnter/Jamie Jennings SA 455 Bikes</strong> Last year winner of the bike section Toby Price is eyeing of the top spot after a scorching prologue with a provisional time of 442 Despite riding prologue in class three time winner Ben Grabham is hot on Toby tail with a provisional time of 449 Local rider Jack Dooley-Mcdonnell was third fastest with a time of 450 Provisional top ten bikes</strong> 1 Toby Price NSW 442 2 Ben Grabham NSW 449 3 Jack Dooley-McDonnell NT450 4 Simon Thompson QLD 454 5 Todd Smith NSW 459 6 Jacob Smith NSW 501 7 Daymon Stokie NT 501 8 Mathew Fish VIC 502 9 Jarrod Bewley NSW 503 10 Brad Williscroft NSW 503,5099.png
Raring to go,http://www.abc.net.au/local/photos/2011/06/06/3237043.htm,6/06/2011,http://www.abc.net.au/reslib/201106/r779386_6694753.jpg,Reigning King of the Desert Toby Price with ABC 783's Nadine Maloney,Copyright: ABC | Source: ABC Local | Byline: Emma Sleath,"Sport, Sport:Motor Sports,",ABC Alice Springs,NT,Alice Springs,"finke,",-23.6989,133.7829,http://www.abc.net.au/local/photos/2011/06/06/3237043-mediarss.xml, The sandy bed of the Todd River was the new location for this year Finke Desert Race launch with a handful of top riders and drivers giving assembled media a taste of what to come Finke President Antony Yoffa addressed a small crowd made up of local media and Finke officials confirming a record field of 516 bikes and 99 cars in this year contingent Almost a quarter of the field are Territorians and interestingly 60 percent of bike competitors are over 30 proving that it not just the young riders who are willing to take on the track Last year third place driver Daniel Auricht was on hand for the camera along with local driver Darren Axle Greening (who brought his Southern Cross Mark 4 Buggy along for the ride) Also smiling for the cameras were West Australian brothers Travis and Beau Robinson who placed first in last year Prologue Reigning King of the Desert Toby Price made an appearance as did top local rider and last year third place winner Ryan Branford So how does Toby Price think he going to go second time round? This raceit pretty scary doing it on a bike and the speeds we can get up to it pretty crazy so my main goal is just to get down there and get back safely Hopefully I can get to the finish and in front and be on top again and win it two times in a row that'd be great     Reigning King of the Desert Toby Price talks tactics with 783 Nadine Maloney,5104.png
Paul at Palmerston Markets,http://www.abc.net.au/local/photos/2011/06/03/3235248.htm,3/06/2011,http://www.abc.net.au/reslib/201106/r778111_6675591.jpg,"Paul Dale chats with Matt Cook, head lecturer and chef at Charles Darwin University, Palmerston campus as his students prepare sample tastings of delicious local produce",Copyright: ABC | Source: ABC | Byline: C.Rawlinson,"Information and Communication:Broadcasting,",ABC Darwin,NT,Palmerston,"palmerston, darwin: drive, plunge, abc, northern territory, ob",-12.5828,131.3839,http://www.abc.net.au/local/photos/2011/06/03/3235248-mediarss.xml, Paul Dale and Micky Murdoch get into the 25 year old Palmerston markets for ABC 1057 final plunge into the community The Charles Darwin University Commercial Cookery and Bakery class are showing off their skills for our final Plunge into Palmerston They have Paul salivating waiting for a taste of their harissa lamb Families peruse the local stalls as does drive producer Micky Murdoch checking in with the latest from the cyber pod and trying on a spunky tartan kilts With Robertson Barracks just nearby Palmerston is home to many defence families Brigadier Gus McLachlan chats to Paul about the local defence community and a welcoming parade organised for a number of returned soldiers coming back from Afghanistan Lured to the sunny green families sit with their market goodies kids turning cartwheels and listening to the ABC As the sun sinks into the sky more and more people pour in to the markets and the lorikeets screech their way to their favourite trees raucously roosting for the night It wraps up our final Plunge into Palmerston We thank the Palmerston community for welcoming the ABC so warmly,5114.png
Arnhem road alert,http://www.abc.net.au/local/photos/2011/05/19/3221476.htm,19/05/2011,http://www.abc.net.au/reslib/201105/r769792_6541335.jpg,Watch out when driving the Maningrida road,Copyright: ABC | Source: NTPFES | Byline:,"Disasters and Accidents:Accidents, Disasters and Accidents:Accidents:Road,",ABC Darwin,NT,Maningrida,"road, maningrida, fish, tinny",-12.0527,134.2201,http://www.abc.net.au/local/photos/2011/05/19/3221476-mediarss.xml, Driving in Arnhem Land can be tough especially after a huge wet season The Maningrida Road also known as the Top Road through to Ramingining has been washed away in sections with massive trenches making it slow going for drivers These photos were taken along a 25 kilometre stretch of the road with people who have driven it recently calling it extremely dangerous Ramingining police are hoping these photos will encourage careful driving to avoid any accidents or tragedies,5144.png
Out'n About,http://www.abc.net.au/local/photos/2011/05/18/3220332.htm,18/05/2011,http://www.abc.net.au/reslib/201105/r769827_6540664.jpg,New musician in town James Milson entertains the punters at the Green Way Up 'Grease Party',Copyright: ABC | Source: ABC Local | Byline: Emma Sleath,"Community and Society,",ABC Alice Springs,NT,Alice Springs,"alice springs, out and about, 783,",-24.0989,133.6829,http://www.abc.net.au/local/photos/2011/05/18/3220332-mediarss.xml, Out and about in Alice Springs? Faces places and all the things that make up life in the Alice Here where you'll find a selection of shots from recent events in town is that YOU in the crowd? Send your own shots in  or just enjoy these images taken by 783 staff out and about,5146.png
Annie heads back to school,http://www.abc.net.au/local/photos/2011/05/11/3214368.htm,11/05/2011,http://www.abc.net.au/reslib/201105/r765416_6469859.jpg,"Annie Gastin gets ready to broadcast at Palmerston Senior College, the first of a series of live broadcasts from the area as part of ABC 105.7's Plunge into Plamerston",Copyright: ABC | Source: ABC | Byline: Nicole Foote,"Education:Schools:Secondary Schools, Information and Communication:Broadcasting:ABC,",ABC Darwin,NT,Palmerston,"annie, palmerston, school, plunge into palmerston, program: afternoons",-11.9828,131.2839,http://www.abc.net.au/local/photos/2011/05/11/3214368-mediarss.xml, Annie Gastin is on her best behaviour as she heads to Palmerston Senior College for a day in school with sports debates music and a chat with the school Principal Students and teachers gathered at the outside basketball courts as they requested songs and debated live on radio whether mobile phones should be allowed in class On the courts the boys went head to head with the girls in a fast paced game of netball while Charlie King talked about a new game hybrid of basketball and netball being played there Two outstanding school bands played live and students covered themselves in ABC tattoos and stickers Annie never had such fun in school!,5169.png
Opening the Arafura Games,http://www.abc.net.au/local/photos/2011/05/08/3210819.htm,8/05/2011,http://www.abc.net.au/reslib/201105/r763350_6433996.jpg,"Athletes from 37 nations have travelled to Darwin to compete in the 2011 Arafura Games which opened with a ceremony filled with music, dance and a celebration of the ocean",Copyright: ABC | Source: ABC | Byline: Nicole Foote,"Sport,",ABC Darwin,NT,Darwin,"arafura, games, opening ceremony, darwin, northern territory",-12.6668,130.5433,http://www.abc.net.au/local/photos/2011/05/08/3210819-mediarss.xml, The Arafura Games Opening Ceremony filled the stadium with golden oceans aerobatic planes athletes and music from the army traditional owners pop stars and rock legends celebrating 20 years of the games history As the sun began to set the sky was filled with a team of red aeroplanes diving and somersaulting across the sky as the Royal Australian Air Force elite flying instructors The Roulettes showed their skills Dancers selected from all over the Northern Territory ran on in waves of white with flags flying proudly Prouder still were the smiling faces of the teams as they entered the stadium filled with excitement at participating Teams from 37 nations will be taking part of the games in Darwin over the next week in a wide variety of disciplines like boxing weightlifting lifesaving athletics table tennis and the always popular sepak takraw The crowd were eager to grasp the hands of the teams as they came through with large roars of support for New Zealand Timor Leste and of course Australia The sound system boomed out with the sounds of home grown talent Jessica Mauboy and Tiwi Islands group B2M Aussie rockers Icehouse provided big band sound with the Governor-general Quentin Bryce officially opening the games The ocean itself was the most celebrated facet of the night with dancers forming seas of gold with graceful Isis cloaks Also the Arafura anthem made its debut at the games sung by the original composer Manuel Nulupani Dhurrkay from The Saltwater Band along with Mauboy capturing the feeling of being by the tropical oceans in the top end Fireworks capped off the night in true Darwin style officially heralding in the 2011 Arafura games which will be running until the 14th May,5180.png
Jack's new garden,http://www.abc.net.au/local/photos/2011/05/06/3209589.htm,6/05/2011,http://www.abc.net.au/reslib/201105/r762384_6419106.jpg,2011 783 ABC Needy Garden,Copyright: ABC | Source: ABC Local | Byline: Emma Sleath,"Lifestyle and Leisure, Lifestyle and Leisure:Gardening, Lifestyle and Leisure:Gardening:Natives,",ABC Alice Springs,NT,Alice Springs,"most needy garden, alice springs, gardening, geoff miers, alice desert park, news",-23.3989,133.8829,http://www.abc.net.au/local/photos/2011/05/06/3209589-mediarss.xml, Another needy garden another home grown success story Winner of this year 783 Most Needy Garden was new home-owner Jack Page and he was thrilled with the efforts of this morning working bee Jack won the 783 Most Needy Competition last year with his video montage  set to the tune of Give me a home among the gum trees After working on the design with Gary Dinham and the Alice Desert Park team a desert creek line design was chosen Over the past few months an amazing transformation has taken place and this morning was just a matter of planting and spreading some mulch On hand to help were the crew from the Alice Desert Park and 783 Gardening Show Geoff Miers Attempting to help the experts were 783 ABC Paul Serratore Rohan and Alex Barwick Emma Sleath and even an off-duty Nicole Lee Stewart Brash broadcasted live from the front garden as the team planted set up dripper lines and spread mulch over a front yard that was unrecognisable from the state it was in a few months ago A slightly overwhelmed Jack Page was more than happy with the result I just wanted something low maintenance something that blends into the environment and they've done a very good job he said We'll wait for the plants to grow before we showcase the grand before and after shots but if you're keen for a peek head to 21 Pedlar Ave in Gillen Thanks to the Page family for breakfast and the magnificent sponge-cake and pumpkin scones Now for the backyard,5185.png
