Title,URL,Date,Primary image,Primary image caption,Primary image rights information,Subjects,Station,State,Place,Keywords,Latitude,Longitude,MediaRSS URL,Billboards
Fathers suffer PTSD following traumatic childbirth experiences,http://www.abc.net.au/local/photos/2014/10/14/4106590.htm,14/10/2014,http://www.abc.net.au/reslib/201410/r1341639_18730030.jpg,"Christian took out the Best Poster award at ‘Posters in Parliament’ – an exhibition and celebration of undergraduate student research that is displayed in Parliament House, Canberra.",Copyright: AAP | Source: USC | Byline: Photo supplied,"Community and Society, Health, Health:Reproduction and Contraception, Health:Reproduction and Contraception:Pregnancy and Childbirth",ABC Sunshine & Cooloola Coasts Qld,QLD,Maroochydore,"childbirth, PTSD, post-traumatic stress syndrome, mental health, mental as,",-26.6617,153.0985,http://www.abc.net.au/local/photos/2014/10/14/4106590-mediarss.xml,"images/test_word_cloud_0540.png"
Pinball doctor flips for bumper collection,http://www.abc.net.au/local/photos/2014/10/14/4106697.htm,14/10/2014,http://www.abc.net.au/reslib/201410/r1341697_18731225.jpg,Dr John Cosson uses pinball as a hobby to get away from the dramas of work and real life and have a great time.,Copyright: ABC | Source: ABC Local | Byline: Damien Larkins,"Arts and Entertainment:Games, Arts and Entertainment:Games:Arcade Game, Arts and Entertainment:Games:Other, Human Interest",ABC Gold & Tweed Coasts,QLD,Burleigh Waters,"pinball, machines, tables, john cosson, doctor, dr, wizard,",-28.1056,153.4389,http://www.abc.net.au/local/photos/2014/10/14/4106697-mediarss.xml,"images/test_word_cloud_0541.png"
Show society debates land sale for supermarket development,http://www.abc.net.au/local/photos/2014/10/14/4106448.htm,14/10/2014,http://www.abc.net.au/reslib/201410/r1341545_18727826.jpg,Mt Gambier Show Society members will vote to sell off a prime piece of land on Pick Avenue.,Copyright: ABC | Source: ABC Local | Byline: Kate Hill,"Business, Economics and Finance, Business, Economics and Finance:Company News, Rural:Agricultural Shows, Rural",ABC South East SA,SA,Mount Gambier,"abc, aldi, german supermarket chain, mt gambier, show society, peter woodruff, sold, land, south east",-37.8252,140.7811,http://www.abc.net.au/local/photos/2014/10/14/4106448-mediarss.xml,"images/test_word_cloud_0542.png"
Bush children learn lifelong lessons out of classroom,http://www.abc.net.au/local/photos/2014/10/13/4105868.htm,13/10/2014,http://www.abc.net.au/reslib/201410/r1341170_18720840.JPG,"Andi-Claire Pegler, who grew up on Navarra Station near Yaraka in western Queensland, says her bush childhood gave her a greater understanding of life and the meaning of work.",Copyright: ABC | Source: ABC | Byline: Blythe Moore,"Education:Access To Education, Human Interest:People, Rural,",ABC Western Queensland,QLD,Yaraka,"yaraka, longreach, andi-claire pegler, navarra station, blythe moore, education, yaraka state school, flinders university, access to education, outback queensland, abc western queensland",-24.8843,144.0737,http://www.abc.net.au/local/photos/2014/10/13/4105868-mediarss.xml,"images/test_word_cloud_0543.png"
More storms set to lash the Hunter,http://www.abc.net.au/local/photos/2014/10/14/4106409.htm,14/10/2014,http://www.abc.net.au/reslib/201410/r1341528_18727441.jpg,Lightning strikes at Hamilton.,Copyright: Unspecified | Source: Supplied | Byline: Craig,"Weather, Weather:Storm,",ABC Newcastle NSW,NSW,Newcastle,"Storm, weather, rain, wind, wild, 1233 ABC Newcastle, Hunter, Newcastle, ABC, SES, State Emergency Service, BOM, Bureau of Meteorology, safety, Robert Virtue",-32.9298,151.7828,http://www.abc.net.au/local/photos/2014/10/14/4106409-mediarss.xml,"images/test_word_cloud_0544.png"
'Hooroo' Stokesy,http://www.abc.net.au/local/photos/2014/10/13/4105586.htm,13/10/2014,http://www.abc.net.au/reslib/201410/r1341080_18720971.jpg,"ABC Coast FM broadcaster John Stokes was at home behind the microphone, asking all the questions, in a happy Hawaiian shirt with a ukulele in hand.",Copyright: AAP | Source: ABC | Byline: Karyn Wood,"Community and Society, Community and Society:Grief,",ABC Sunshine & Cooloola Coasts Qld,QLD,Maroochydore,"john stokes, community grief, tributes",-26.6617,153.0985,http://www.abc.net.au/local/photos/2014/10/13/4105586-mediarss.xml,"images/test_word_cloud_0545.png"
The new Bermagui Skate Park takes off,http://www.abc.net.au/local/photos/2014/10/13/4105904.htm,13/10/2014,http://www.abc.net.au/reslib/201410/r1341227_18722106.jpg,Opening day at the Bermagui Skate Park,Copyright: ABC | Source: ABC South East NSW | Byline: Bill Brown,"Sport,",ABC South East NSW,NSW,Bermagui,Bermagui Skate Park skate skater skating sport,-36.4221,150.0622,http://www.abc.net.au/local/photos/2014/10/13/4105904-mediarss.xml,"images/test_word_cloud_0546.png"
Stormy weather ahead for the Hunter,http://www.abc.net.au/local/photos/2014/10/13/4105832.htm,13/10/2014,http://www.abc.net.au/reslib/201409/r1333163_18553338.jpg,A storm front over Newcastle Ocean Baths.,Copyright: ABC licensed | Source: | Byline: Stephanie Owen,"Weather, Weather:Rainfall, Weather:Storm,",ABC Newcastle NSW,NSW,Newcastle,severe weather warning thunderstorm storms bureau of meteorology forecast rainfall gale wind SES state emergency service 1233 abc,-32.9298,151.7828,http://www.abc.net.au/local/photos/2014/10/13/4105832-mediarss.xml,"images/test_word_cloud_0547.png"
Learning the ropes of harness racing,http://www.abc.net.au/local/photos/2014/10/13/4105654.htm,13/10/2014,http://www.abc.net.au/reslib/201410/r1341093_18719407.jpg,Practicing speeding around the corner,Copyright: ABC | Source: ABC Central Victoria | Byline: Corey Hague,"Education:Adult Education, Education, Education:Vocational, Sport",ABC Central Victoria,VIC,Bendigo,"Bendigo Harness Racing Training Centre, harness racing school, John Randles, Lords raceway, harness racing bendigo, Daryl Douglas, horse racing industry, bendigo, horse skill, learning horse racing",-36.7597,144.2789,http://www.abc.net.au/local/photos/2014/10/13/4105654-mediarss.xml,"images/test_word_cloud_0548.png"
The little bush town that could,http://www.abc.net.au/local/photos/2014/10/09/4103468.htm,9/10/2014,http://www.abc.net.au/reslib/201410/r1338887_18690184.JPG,Townsfolk gather at Yaraka’s local pub to celebrate a birthday.,Copyright: ABC | Source: ABC | Byline: Blythe Moore,"Community and Society, Human Interest:People, Rural,",ABC Western Queensland,QLD,Yaraka,"yaraka, susan glasson, yaraka progress association, margaret pegler, andi-claire pegler, isisford, longreach, abc western queensland, ash moore, blythe moore",-24.8843,144.0737,http://www.abc.net.au/local/photos/2014/10/09/4103468-mediarss.xml,"images/test_word_cloud_0549.png"
Kalgoorlie roller derby kicks off its second home season,http://www.abc.net.au/local/photos/2014/10/10/4104819.htm,10/10/2014,http://www.abc.net.au/reslib/201211/r1032134_11817070.jpg,Cinderkiller and a WA Roller Derby player.,Copyright: ABC | Source: | Byline: Rebecca Brewin,"Sport,",ABC Goldfields WA,WA,Kalgoorlie,Kalgoorlie Boulder Roller Derby Hainault Horros Ora Bandits Gold City Rollers Sport,-30.7458,121.4715,http://www.abc.net.au/local/photos/2014/10/10/4104819-mediarss.xml,"images/test_word_cloud_0550.png"
Thousands turn out for Wollongong Central opening,http://www.abc.net.au/local/photos/2014/10/09/4103546.htm,9/10/2014,http://www.abc.net.au/reslib/201410/r1339764_18690726.jpg,The Wollongong Central shopping centre opens with an explosion of confetti along Keira Street. The $200m centre has been three years in the making.,Copyright: ABC | Source: ABC | Byline: Justin Huntsdale,"Business, Economics and Finance:Industry:Building and Construction, Business, Economics and Finance:Regional Development, Business, Economics and Finance:Small Business,",ABC Illawarra NSW,NSW,Wollongong,"wollongong central, gpt, michael cameron, opening, shopping, retail, construction, abc illawarra",-34.4263,150.8927,http://www.abc.net.au/local/photos/2014/10/09/4103546-mediarss.xml,"images/test_word_cloud_0551.png"
Operation Drop In: Helping surfers in PNG,http://www.abc.net.au/local/photos/2014/10/08/4102775.htm,8/10/2014,http://www.abc.net.au/reslib/201410/r1339251_18679693.jpg,Women dressed in traditional PNG clothing recieve surfboards from the Surfing Association of PNG,Copyright: ABC | Source: Supplied | Byline: Andrew Able,"Community and Society, Sport, Sport:Surfing,",ABC Newcastle NSW,,,"Operation Drop In, Jill Emberson, ABC Newcastle, Mornings, Splinters, film, charity, Surfing Association of Papua New Guinea, Andrew Able, Andy Able, SAPNG, Papua New Guinea, PNG, surf, surfing, waves, beach, board, fibreglass, freight container,",,,http://www.abc.net.au/local/photos/2014/10/08/4102775-mediarss.xml,"images/test_word_cloud_0552.png"
ABC presenter shares mental health battle,http://www.abc.net.au/local/photos/2014/10/10/4104273.htm,10/10/2014,http://www.abc.net.au/reslib/201410/r1340224_18700838.jpg,ABC Western Queensland presenter Heather Hale says there is a greater understanding about mental illness now than there was in the 1970s and 1980s.,Copyright: ABC | Source: ABC | Byline: Blythe Moore,"Health:Mental Health, Human Interest:People,",ABC Western Queensland,QLD,Longreach,"mental health week, mental as, mental illness, heather hale, abc western queensland, anorexia, agoraphoia, anorexic, agoraphobic, treatment, symptoms, longreach, blythe moore, ash moore,",-23.4445,144.2475,http://www.abc.net.au/local/photos/2014/10/10/4104273-mediarss.xml,"images/test_word_cloud_0553.png"
10 inspiring South East photographers: Penola’s Jodie Smith-Deland,http://www.abc.net.au/local/photos/2014/10/10/4104685.htm,10/10/2014,http://www.abc.net.au/reslib/201410/r1340443_18705969.jpg,"A long exposure, tripod and fast trigger finger helped Jodie capture this shot of model Jaimie.",Copyright: Audience submitted | Source: Supplied | Byline: Jodie Smith-Deland,"Arts and Entertainment:Photography, Human Interest,",ABC South East SA,SA,Penola,"abc, smith created, jodie smith-deland, photographer, photography, penola, coonawarra, model, black and white, portrait",-37.3769,140.834,http://www.abc.net.au/local/photos/2014/10/10/4104685-mediarss.xml,"images/test_word_cloud_0554.png"
Mental As: NSW north coast voices on mental health,http://www.abc.net.au/local/photos/2014/10/10/4104683.htm,10/10/2014,http://www.abc.net.au/reslib/201410/r1340428_18705528.jpg,"For Andrew Loxton, a Lismore man living with Bipolar Affective Disorder, the Healing Voices Choir has become his favourite part of the week. ""I've found it to be really settling.""",Copyright: ABC | Source: ABC | Byline: Margaret Burin,"Health:Mental Health,",ABC North Coast NSW,NSW,Lismore,"mental as, mental health, abc, north coast, interviews, article, healing voices, choir, children, parents, advice, older people, elderly, depression, anxiety, teenager, mandy nolan, kids, what to do, mental as",-28.8093,153.2808,http://www.abc.net.au/local/photos/2014/10/10/4104683-mediarss.xml,"images/test_word_cloud_0555.png"
Spectacular Happy times for Albury student dancers,http://www.abc.net.au/local/photos/2014/10/10/4104490.htm,10/10/2014,http://www.abc.net.au/reslib/201410/r1340236_18701136.jpg,"Wewak Street School dancers (from back left) Nicole Brest, Elizabeth Doherty, Tia Kissier, Sarah Benson and (from front left) Mackelle Lake and Mia Giddings.",Copyright: ABC | Source: ABC Goulburn Murray | Byline: Nick Fogarty,"Arts and Entertainment:Dance, Community and Society:Regional, Education:Primary, Education:Secondary",ABC Goulburn Murray,NSW,North Albury,"abc, abc goulburn murray, dance, wewak, school, education, arts, disability, health,",-36.0538,146.9325,http://www.abc.net.au/local/photos/2014/10/10/4104490-mediarss.xml,"images/test_word_cloud_0556.png"
Friday Rewind – Stop the press! Mt Gambier’s other newspapers,http://www.abc.net.au/local/photos/2014/10/10/4104222.htm,10/10/2014,http://www.abc.net.au/reslib/201410/r1340197_18700229.jpg,The competition: the staff of the South-Eastern Star line up for the photographer in 1898.,Copyright: ABC | Source: Mt Gambier Library | Byline: Les Hills Collection,"Community and Society, Community and Society:History, Human Interest, Information and Communication:Print Media",ABC South East SA,SA,Mount Gambier,"abc, mt gambier, mount, the border watch, the south eastern star, the ensign, south east, newspaper, The Spectator, print, south australia, the exchange, les hills collection",-37.8252,140.7811,http://www.abc.net.au/local/photos/2014/10/10/4104222-mediarss.xml,"images/test_word_cloud_0557.png"
Army of volunteers make Maryborough's theatre sing,http://www.abc.net.au/local/photos/2014/10/09/4103912.htm,9/10/2014,http://www.abc.net.au/reslib/201410/r1339993_18696010.JPG,Country music artist Adam Brand tests out the acoustics at a sound check in the Brolga Theatre in Maryborough.,Copyright: ABC | Source: ABC Online | Byline: Ross Kay,"Arts and Entertainment, Arts and Entertainment:Music, Arts and Entertainment:Music:Country, Community and Society",ABC Wide Bay Qld,QLD,Maryborough,"news, adam brand, maryborough, brolga thatre, alan leach, volunteers",-25.5394,152.7015,http://www.abc.net.au/local/photos/2014/10/09/4103912-mediarss.xml,"images/test_word_cloud_0558.png"
Rodeo creates career pathways for youth of Yarrabah,http://www.abc.net.au/local/photos/2014/10/10/4104354.htm,10/10/2014,http://www.abc.net.au/reslib/201410/r1340268_18701842.jpg,Lester Kynuna has worked with cattle all his life and now he wants to pass those skills on to the Youth of Yarrabah.,Copyright: ABC | Source: ABC Local | Byline: Isaac Egan,"Community and Society:Community and Multicultural Festivals, Community and Society:Indigenous (Aboriginal and Torres Strait Islander), Community and Society:Indigenous (Aboriginal and Torres Strait Islander):Indigenous Culture, Community and Society:Unemployment",ABC Far North Qld,QLD,Cairns,"Yarrabah Rodeo, Youth, Indigenous, Aboriginal, Cairns, Community, Rodeo, Cape York, Horse, Horses, Stockman, Cowboys, Bullride, Station, Cattleman, Cattle, 50 years, far North Queensland, In pictures, Gallery, Images",-16.9245,145.7652,http://www.abc.net.au/local/photos/2014/10/10/4104354-mediarss.xml,"images/test_word_cloud_0559.png"
Rocky boy brings Hollywood home,http://www.abc.net.au/local/photos/2014/10/10/4104204.htm,10/10/2014,http://www.abc.net.au/reslib/201410/r1340177_18699918.jpg,Hollywood actor Alex Russell at home in Rockhampton to premiere his film Believe Me.,Copyright: ABC | Source: ABC Local | Byline: Alice Roberts,"Arts and Entertainment:Comedy (Humour), Arts and Entertainment:Film (Movies), Arts and Entertainment:Film (Movies):Comedy (Film), Community and Society:Religion and Beliefs",ABC Capricornia,QLD,Rockhampton,"Actor Alex Russell, Believe Me, Rockhampton, Los Angeles",-23.3782,150.5106,http://www.abc.net.au/local/photos/2014/10/10/4104204-mediarss.xml,"images/test_word_cloud_0560.png"
Mushroom macros take Australian fungi photographer to Moscow,http://www.abc.net.au/local/photos/2014/10/09/4103349.htm,9/10/2014,http://www.abc.net.au/reslib/201410/r1339391_18683121.jpg,Phillipsia subpurpurea,Copyright: ABC | Source: ABC | Byline: Steve Axford,"Arts and Entertainment:Photography, Arts and Entertainment:Visual Art:Photography, Human Interest, Lifestyle and Leisure",ABC North Coast NSW,NSW,Booyong,"fungi, photography, steve, axford, russia, moscow, abc, the white rabbit, exhibition, north coast, nsw, booyong, mushrooms, mushroom, funghi, fungus, images, photos, photographer, restaurant, diners club,",-28.749,153.451,http://www.abc.net.au/local/photos/2014/10/09/4103349-mediarss.xml,"images/test_word_cloud_0561.png"
Tributes flow for Goldfields community hero Lorna Mitchell,http://www.abc.net.au/local/photos/2014/10/09/4103731.htm,9/10/2014,http://www.abc.net.au/reslib/201410/r1339872_18693051.JPG,Lorna Mitchell in 2007 with Mayor Ron Yuryevich and former Member for Kalgoorlie John Bowler. Mrs Mitchell was named as an Honourary Freeman of the City of Kalgoorlie-Boulder in recognition of her outstanding and meritorious service to the community.,Copyright: ABC licensed | Source: City of Kalgoorlie-Boulder | Byline: Supplied,"Community and Society, Community and Society:Volunteers, Community and Society:Women,",ABC Goldfields WA,WA,Kalgoorlie,Lorna Mitchell Obituary Passed Away died Kalgoorlie Community Boulder Goldfields Great,-30.7458,121.4715,http://www.abc.net.au/local/photos/2014/10/09/4103731-mediarss.xml,"images/test_word_cloud_0562.png"
Riding from the Red Centre,http://www.abc.net.au/local/photos/2014/10/08/4102718.htm,8/10/2014,http://www.abc.net.au/reslib/201410/r1339135_18677106.jpg,"Bellingen's Will Ashley has completed the 3,000km ride from Daly Waters Historic Pub to his former school, Bishop Druitt College. His adventure has raised $10,000 for the Australian Cancer Research Foundation. He hopes to inspire local young people to start planning and working towards their own goals, dreams and adventures.",Copyright: ABC | Source: ABC Local | Byline: Fi Poole,"Community and Society:Youth,",ABC Coffs Coast,NSW,Coffs Harbour,"youth, adventure, cancer, cycle,",-30.315,153.118,http://www.abc.net.au/local/photos/2014/10/08/4102718-mediarss.xml,"images/test_word_cloud_0563.png"
Tragic deaths inspire mother’s marathon bike ride across the ditch,http://www.abc.net.au/local/photos/2014/10/09/4103654.htm,9/10/2014,http://www.abc.net.au/reslib/201410/r1339834_18692217.jpg,"Alison Blyth founded the charity ride, from Bluff on the south island to Cape Reinga on the north. She says the original idea “was just me riding my bike with my very supportive husband driving the van next to me, but it gathered momentum.”",Copyright: ABC | Source: contributed | Byline: Alison Blyth,"Community and Society:Charities, Community and Society:Charities and Community Organisations, Health:Men's Health, Health:Mental Health",ABC Sunshine & Cooloola Coasts Qld,QLD,Yandina,"suicide, mentalas, mental health illness, Alison Blyth, ride out of the blue, New Zealand, Mental Health Foundation, Mindfulness Program",-26.5638,152.9558,http://www.abc.net.au/local/photos/2014/10/09/4103654-mediarss.xml,"images/test_word_cloud_0564.png"
Old School Trades - Lead lighter,http://www.abc.net.au/local/photos/2014/10/09/4103779.htm,9/10/2014,http://www.abc.net.au/reslib/201410/r1339882_18693269.jpg,"Robyn Murphy has been working as a lead lighter for 19 years. She is based in Bathurst, NSW.",Copyright: ABC | Source: ABC Local | Byline: Robert Virtue,"Community and Society:Work,",ABC Central West NSW,NSW,Bathurst,"Old School Trades, job, employment, history, work, life, people, trades, apprenticeships, Orange, NSW, New South Wales, Australia, 2014, ABC, ABC Central West, ABC Western Plains, Robert Virtue, Robyn Murphy, lead lighter, lead lighting, glass, stained glass window, Bathurst, knife, tool, nails",-33.4146,149.5808,http://www.abc.net.au/local/photos/2014/10/09/4103779-mediarss.xml,"images/test_word_cloud_0565.png"
"Inside the stories of Bourke's dusty, dry cemetery",http://www.abc.net.au/local/photos/2014/10/08/4102886.htm,8/10/2014,http://www.abc.net.au/reslib/201410/r1339338_18681747.jpg,Historian Cathy Simpson has been researching the stories of Bourke’s cemetery.,Copyright: ABC | Source: ABC Local | Byline: Robert Virtue,"Community and Society, Community and Society:History:19th Century, Community and Society:History:20th Century, Community and Society:History",ABC Western Plains NSW,NSW,Bourke,"Bourke, cemetery, New South Wales, NSW, outback, Australia, Dr Fred Hollows, Afghan, camel, traders, ABC, ABC Central West, Robert Virtue, 2014, drought, farmers, nuns, history, death, community, rural, life, people, burial, buried, country, Dubbo, Orange",-30.0916,145.9442,http://www.abc.net.au/local/photos/2014/10/08/4102886-mediarss.xml,"images/test_word_cloud_0566.png"
My Garden Sustains Me - ABC's David Maher,http://www.abc.net.au/local/photos/2014/10/08/4102800.htm,8/10/2014,http://www.abc.net.au/reslib/201410/r1339287_18680307.jpg,"David's love of teaching gardening began while he was a school teacher; now retired, he is still learning and sharing his knowledge",Copyright: ABC | Source: ABC Local Radio | Byline: Jennifer Ingall,"Community and Society, Human Interest, Human Interest:People, Lifestyle and Leisure:Gardening",ABC New England North West NSW,NSW,Tamworth,"gardening, David maher,",-31.0921,150.9279,http://www.abc.net.au/local/photos/2014/10/08/4102800-mediarss.xml,"images/test_word_cloud_0567.png"
"Unplug, switch off and go on a quest for quiet",http://www.abc.net.au/local/photos/2014/10/09/4103605.htm,9/10/2014,http://www.abc.net.au/reslib/201410/r1339755_18690619.jpg,Yoga and meditation can be used to treat depression and anxiety.,Copyright: ABC | Source: | Byline:,"Health, Health:Mental Health, Lifestyle and Leisure,",ABC Newcastle NSW,NSW,Newcastle,Newcastle: Afternoons yoga meditation mental as mental health digital screen devices quiet quest PTSD 1233 abc,-32.9298,151.7828,http://www.abc.net.au/local/photos/2014/10/09/4103605-mediarss.xml,"images/test_word_cloud_0568.png"
Seasoned cricketers rediscover love of the game - and a few creaks,http://www.abc.net.au/local/photos/2014/10/08/4102723.htm,8/10/2014,http://www.abc.net.au/reslib/201410/r1339219_18679091.jpg,"Ken Andersen, 65, was inspired by Lillee and Thomo when he started playing as a youngster, but he became a leg-spin bowler. “I don’t feel 60 [until] sometimes on the morning after a match,” he said.",Copyright: ABC | Source: ABC | Byline: Jon Coghill,"Community and Society:Community Organisations, Sport, Sport:Cricket,",ABC Sunshine & Cooloola Coasts Qld,QLD,Maroochydore,"over-60s cricketers, over-70s cricketers, Sunshine Coast cricket, Gill Chapman, Kerry Emery, cricket",-26.6617,153.0985,http://www.abc.net.au/local/photos/2014/10/08/4102723-mediarss.xml,"images/test_word_cloud_0569.png"
Sunken boat awaits action at beach near Port MacDonnell,http://www.abc.net.au/local/photos/2014/10/09/4103623.htm,9/10/2014,http://www.abc.net.au/reslib/201410/r1339798_18691519.jpg,The cabin of a boat has washed ashore at Paradise Beach near Port MacDonnell.,Copyright: ABC | Source: ABC Local | Byline: Kate Hill,"Environment, Human Interest,",ABC South East SA,SA,Port Macdonnell,"abc, sunken, boat, Paradise Beach, Port Macdonnell, marine, resuce, Western Australia, salvage, district council of grant, state government, catamaran",-38.0536,140.7002,http://www.abc.net.au/local/photos/2014/10/09/4103623-mediarss.xml,"images/test_word_cloud_0570.png"
Art helped me forgive a violent past,http://www.abc.net.au/local/photos/2014/10/09/4103444.htm,9/10/2014,http://www.abc.net.au/reslib/201410/r1339706_18689428.jpg,Central Queensland artist Jet James in his studio at Emu Park,Copyright: ABC | Source: ABC Local | Byline: Alice Roberts,"Arts and Entertainment, Arts and Entertainment:Visual Art:Painting, Health:Drug Use:Addictive, Health:Mental Health",ABC Capricornia,QLD,Emu Park,"Mental health, drug addiction, art, artist Jet James, mental As",-23.2599,150.8238,http://www.abc.net.au/local/photos/2014/10/09/4103444-mediarss.xml,"images/test_word_cloud_0571.png"
Youth on show at the Yarrabah Rodeo,http://www.abc.net.au/local/photos/2014/10/07/4101780.htm,7/10/2014,http://www.abc.net.au/reslib/201410/r1338587_18664636.jpg,"Indigenous stockmen were often the backbone of North Queensland stations and Yarrabah was, and still is, a breeding ground for skilled stockmen.",Copyright: ABC | Source: ABC Local | Byline: Isaac Egan,"Arts and Entertainment, Arts and Entertainment:Kids Games and Links:Animals and Nature, Community and Society:Community and Multicultural Festivals, Community and Society:Community Organisations",ABC Far North Qld,,,"Yarrabah Rodeo, Youth, Indigenous, Aboriginal, Cairns, Community, Rodeo, Cape York, Horse, Horses, Stockman, Cowboys, Bullride, Station, Cattleman, Cattle, 50 years, far North Queensland, In pictures, Gallery, Images",,,http://www.abc.net.au/local/photos/2014/10/07/4101780-mediarss.xml,"images/test_word_cloud_0572.png"
The bright side of a dark mind,http://www.abc.net.au/local/photos/2014/10/07/4101951.htm,7/10/2014,http://www.abc.net.au/reslib/201410/r1338709_18668089.jpg,Kathryn Rogers said her mental illness diagnosis has been a positive experience.,Copyright: ABC | Source: ABC Local | Byline: Kate Hill,"Health:Mental Health, Human Interest,",ABC South East SA,SA,Mount Gambier,"mentalas, schizoaffective disorder, psychiatrist, post traumatic stress disorder, bipolar, depression, Lifeline, Kathryn rogers, psychiatric, adelaide, mt gambier",-37.8252,140.7811,http://www.abc.net.au/local/photos/2014/10/07/4101951-mediarss.xml,"images/test_word_cloud_0573.png"
Cook Shire Mayor describes near death helicopter crash,http://www.abc.net.au/local/photos/2014/10/08/4102845.htm,8/10/2014,http://www.abc.net.au/reslib/201410/r1339246_18679656.jpg,A helicopter being used to assess a sight for a new helicopter landing pad near Cooktown was blown out of control by an unexpected gust of wind and crash landed on rock pirched at the edge of a cliff face.,Copyright: ABC | Source: Supplied | Byline:,"Business, Economics and Finance:Industry:Air Transport, Business, Economics and Finance:Regional Development, Disasters and Accidents:Accidents:Air and Space, Disasters and Accidents:Accidents:Workplace",ABC Far North Qld,,,"Cooktown helicopter crash, helicopter crash, Cooktown, Cairns, Peter Scott, Mayor, Great Barrier Reef Helicopters, GBR helicopters, far north queensland, footage, video, fail, deaths, death, tropics, daintree, Mount Cook, Cook Shire, Council",,,http://www.abc.net.au/local/photos/2014/10/08/4102845-mediarss.xml,"images/test_word_cloud_0574.png"
All bull at Brahman Week sales,http://www.abc.net.au/local/photos/2014/10/08/4102685.htm,8/10/2014,http://www.abc.net.au/reslib/201410/r1339124_18676814.jpg,Pulling over for a yarn at the Gracemere Saleyards during Brahman Week,Copyright: ABC | Source: ABC Local | Byline: Alice Roberts,"Rural:Livestock, Rural:Livestock:Beef Cattle, Rural:Livestock:Cattle Feedlots,",ABC Capricornia,QLD,Gracemere,"Brahman Week, Gracemere Saleyards, Landmark agent Julian Laver",-23.4386,150.4558,http://www.abc.net.au/local/photos/2014/10/08/4102685-mediarss.xml,"images/test_word_cloud_0575.png"
"Once bittern, twice shy for endangered bunyip bird",http://www.abc.net.au/local/photos/2014/10/08/4102774.htm,8/10/2014,http://www.abc.net.au/reslib/201410/r1339114_18676577.jpg,A bittern in young rice in the NSW Riverina.,Copyright: ABC | Source: Supplied | Byline: Matt Herring,"Arts and Entertainment:Books (Literature), Community and Society:Indigenous (Aboriginal and Torres Strait Islander):Indigenous Culture, Community and Society:Regional, Environment:Endangered and Protected Species",ABC Goulburn Murray,NSW,Deniliquin,"abc, abc goulburn murray, birds, bittern, endangered, animals, wildlife, environment, news, matt herring, riverina, farming, rice,",-35.5308,144.9603,http://www.abc.net.au/local/photos/2014/10/08/4102774-mediarss.xml,"images/test_word_cloud_0576.png"
There's a blood moon rising ...,http://www.abc.net.au/local/photos/2014/10/08/4102665.htm,8/10/2014,http://www.abc.net.au/reslib/201405/r1278922_17301089.jpg,A shot of April's blood moon.,Copyright: ABC | Source: photo supplied | Byline: Jim Ogilvie,"Science and Technology, Science and Technology:Astronomy (Space), Science and Technology:Astronomy (Space):The moon,",ABC Newcastle NSW,NSW,Newcastle,blood moon total lunar eclipse full moon tetrad astronomy photography sydney observatory bible prophecies astrology 1233 abc,-32.9298,151.7828,http://www.abc.net.au/local/photos/2014/10/08/4102665-mediarss.xml,"images/test_word_cloud_0577.png"
End of an era: Byron Bay boutique business grows as primary industry goes,http://www.abc.net.au/local/photos/2014/06/20/4029696.htm,20/06/2014,http://www.abc.net.au/reslib/201305/r1109268_13467688.jpg,Inside the 'piggery' slaughterhouse circa 1920s.,Copyright: ABC | Source: ABC Local | Byline: Arthur Hackett,"Business, Economics and Finance:Industry, Community and Society:Unemployment, Lifestyle and Leisure, Lifestyle and Leisure:Travel and Tourism",ABC North Coast NSW,NSW,Byron Bay,"byron, bay, industry, history, abc, news, byron bay's, meatworks, chicken, ingams, ingham, factory, historical",-28.6436,153.6109,http://www.abc.net.au/local/photos/2014/06/20/4029696-mediarss.xml,"images/test_word_cloud_0578.png"
The tall tales of 'Big Red': the South East's biggest tree,http://www.abc.net.au/local/photos/2014/10/08/4102606.htm,8/10/2014,http://www.abc.net.au/reslib/201410/r1339141_18677288.jpg,"""It's big, it's tall, it's old and it's here."" Bill Vogel stands in the giant redgum at Mullinger Swamp.",Copyright: ABC | Source: ABC Local | Byline: Kate Hill,"Human Interest, Lifestyle and Leisure, Rural:Rural Tourism,",ABC South East SA,SA,Kybybolite,"biggest tree, redgum, river, mullinger swamp, naracoorte, kybybolite, ABC, greening australia, giant, land of the, 800 years old, South East, South Australia",-36.8667,140.9167,http://www.abc.net.au/local/photos/2014/10/08/4102606-mediarss.xml,"images/test_word_cloud_0579.png"
City’s annual art prize in synch with Summit,http://www.abc.net.au/local/photos/2014/10/06/4101357.htm,6/10/2014,http://www.abc.net.au/reslib/201410/r1338325_18659606.JPG,The City of Kalgoorlie-Boulder Art Prize has been held back a month to coincide with the Regional Arts Australia Summit,Copyright: ABC | Source: ABC Goldfields | Byline: Rebecca Brewin,"Arts and Entertainment:Visual Art, Arts and Entertainment:Visual Art:Painting, Arts and Entertainment:Visual Art:Photography, Arts and Entertainment:Visual Art:Sculpture",ABC Goldfields WA,WA,Kalgoorlie,City of kalgoorlie boulder art prize regional arts australia summit arts and edges visual photography sculpture goldfields,-30.7458,121.4715,http://www.abc.net.au/local/photos/2014/10/06/4101357-mediarss.xml,"images/test_word_cloud_0580.png"
